date,family,method,method_label,fund,return,growth_1
2021-01-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.003890754794180329,0.9961092452058197
2021-01-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.018935846474633644,1.0149714169450004
2021-01-06,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.04682554464297439,1.0624980063405014
2021-01-07,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007500963904495395,1.0704677655346597
2021-01-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00014837913623022558,1.0706266006170722
2021-01-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.023976108236173244,1.044957141360151
2021-01-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0014124661877681355,1.0464331079899891
2021-01-13,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014305437693910905,1.0614027916171855
2021-01-14,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.006223589963405551,1.068008527378225
2021-01-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.018017192270282645,1.04876601239415
2021-01-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007738513923559731,1.0568819027836183
2021-01-20,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005089689031193112,1.0622611030114826
2021-01-21,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.03155162323514937,1.02874504091191
2021-01-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.00792367622071466,1.0368964835297618
2021-01-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.002778121855874671,1.0340158587465882
2021-01-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004887780413148857,1.0289618162853214
2021-01-27,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.03425224570112062,0.9937175633368451
2021-01-28,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.026071046857367053,1.0196248204935887
2021-01-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.007470618717091204,1.0120075922251985
2021-02-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.010204431715737261,1.0223345545958682
2021-02-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.021658099716385326,1.044476378322812
2021-02-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.009589675205373238,1.0544925675506123
2021-02-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0036648134761751994,1.0583570861226983
2021-02-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.020351550259225526,1.0798962935531318
2021-02-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.02566129467818845,1.1076078305638821
2021-02-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.010060418581111286,1.1187508289630714
2021-02-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011213303568799793,1.1312957216260808
2021-02-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014923915982379077,1.1481790839268533
2021-02-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.013922858758989909,1.1641650191423933
2021-02-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.000834277364417435,1.1651362556663105
2021-02-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.011514209321954016,1.17855187840265
2021-02-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.004112435878182108,1.173705159373608
2021-02-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012920433262515907,1.1888699385551653
2021-02-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.013189509394386234,1.1731893273318885
2021-02-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.036420498095625864,1.1304611876699888
2021-02-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.021858913011400638,1.1551718404340316
2021-02-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.025190186388087787,1.126072846463228
2021-02-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.007920962386525288,1.1171532658019052
2021-03-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.02764810950301766,1.14804044162645
2021-03-02,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005051223358201851,1.1422414329315462
2021-03-03,Combined,equal_weight,Equal Weight,Combined Equal Weight,5.691690167530794e-05,1.142306445774874
2021-03-04,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.008937843035586979,1.1320966900639988
2021-03-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012893922421377324,1.146693856959182
2021-03-08,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005139067160578437,1.1525867937027179
2021-03-09,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.012274318469442935,1.1667340110722992
2021-03-10,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.003389433711715073,1.1706885786620322
2021-03-11,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.004440027839439864,1.175886468542606
2021-03-12,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0029298977965344086,1.1793316957157636
2021-03-15,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0020005157583133926,1.1769724240742057
2021-03-16,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005728843658630467,1.183715115082246
2021-03-17,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.0070901522054123145,1.1921078354160264
2021-03-18,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0149630080003329,1.1742703163374368
2021-03-19,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.000865548652199899,1.1732539282478127
2021-03-22,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.0009142788616754993,1.172181246981838
2021-03-23,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.005798140521023787,1.1653847753957285
2021-03-24,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.014092748822480128,1.148961300474534
2021-03-25,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.005947801689248466,1.1557950944383777
2021-03-26,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.03065124167451594,1.1912216492042285
2021-03-29,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.007361535872945524,1.1999908701074746
2021-03-30,Combined,equal_weight,Equal Weight,Combined Equal Weight,-0.00037708683411152855,1.1995383693493031
2021-03-31,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.01182158627449148,1.2137188156721288
2021-04-01,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.014672578757863874,1.2315272005849793
2021-04-05,Combined,equal_weight,Equal Weight,Combined Equal Weight,0.023279357597137063,1.2601963626779982
