term,lexicon_score,headline_count
beat,2.0,2085
rally,2.0,1065
beats,2.0,879
rebound,1.8,680
surge,2.0,504
outperform,2.2,433
bullish,2.2,416
soar,2.1,324
sell-off,-2.3,301
surges,2.0,257
upgrade,2.2,243
rallies,2.0,212
soars,2.1,208
slump,-2.0,203
selloff,-2.3,201
plunge,-2.5,141
tumble,-2.0,140
tumbles,-2.0,126
buyback,1.5,91
downturn,-2.0,91
rebounds,1.8,91
plunges,-2.5,62
bearish,-2.2,61
upgraded,2.2,56
bankruptcy,-3.0,51
underperform,-2.2,50
underweight,-1.8,50
default,-2.5,49
downgraded,-2.2,47
outperforms,2.2,38
downgrade,-2.2,30
underperforms,-2.2,9
