family,method,method_label,fund,first_live_date,estimation_window,periods_per_year,annualised_return,annualised_volatility,sharpe,max_drawdown,final_growth_1,rebalance_count
Combined,equal_weight,Equal Weight,Combined Equal Weight,2021-01-04,252,252,0.1513526195518089,0.2160038524438882,0.7608055516376508,-0.2787245867171565,1.5236892003153522,36
Combined,max_sharpe,Maximum Sharpe,Combined Maximum Sharpe,2021-01-04,252,252,0.24011954824921067,0.2515164613688854,0.9811238615424217,-0.25821264298170366,1.9022955804181665,36
Combined,min_variance,Minimum Variance,Combined Minimum Variance,2021-01-04,252,252,0.05413513490849686,0.1275324341805115,0.4771634767116291,-0.15405101205121297,1.1706209486196035,36
Combined,risk_parity,Risk Parity,Combined Risk Parity,2021-01-04,252,252,0.1396715771677728,0.16201927834491647,0.8881306448058214,-0.19474176903434903,1.4779617785819128,36
Crypto,equal_weight,Equal Weight,Crypto Equal Weight,2020-10-01,252,365,0.6186029455343263,0.8220804381451512,1.0006877702677093,-0.8157130881593324,4.787797803441145,39
Crypto,max_sharpe,Maximum Sharpe,Crypto Maximum Sharpe,2020-10-01,252,365,-0.04102682572898031,0.7794205107937009,0.3384206568511117,-0.8946782624360389,0.8726369666630351,39
Crypto,min_variance,Minimum Variance,Crypto Minimum Variance,2020-10-01,252,365,0.8847710858405708,0.6676742143812172,1.283222363386071,-0.712758318020059,7.855178974513583,39
Crypto,risk_parity,Risk Parity,Crypto Risk Parity,2020-10-01,252,365,0.6798544472069412,0.8007014052913317,1.0520491785162338,-0.7953770166824565,5.402512254343476,39
Equity,equal_weight,Equal Weight,Equity Equal Weight,2021-01-04,252,252,0.12642379781817525,0.16117980666586595,0.8192923665597768,-0.20249210152511732,1.4272168148150346,36
Equity,max_sharpe,Maximum Sharpe,Equity Maximum Sharpe,2021-01-04,252,252,0.09152147106565667,0.1816910157640569,0.5729681850726616,-0.2564839915317185,1.2991044901097926,36
Equity,min_variance,Minimum Variance,Equity Minimum Variance,2021-01-04,252,252,0.0542503486028294,0.1272813592834925,0.4787093846147311,-0.1525215868422105,1.171003302695738,36
Equity,risk_parity,Risk Parity,Equity Risk Parity,2021-01-04,252,252,0.09911068418919822,0.14528352759899052,0.7231638826807497,-0.1849304135367391,1.3262814646909202,36
