sector,headlines,baseline_mean,finance_mean,baseline_neutral_rate,finance_neutral_rate,neutral_rescue_rate,finance_term_coverage,neutral_rate_reduction
Comm,11783,0.09946375286429603,0.11406036662989052,0.5154035474836629,0.49019774251039633,0.02520580497326657,0.04642281252652126,0.025205804973266577
Consumer,25877,0.09437270549136298,0.10769061715036518,0.5098736329559068,0.4834408934575105,0.026625961278355297,0.05421803145650578,0.026432739498396307
Energy,19365,0.1059864394526207,0.12020203459850244,0.4302091402013943,0.40650658404337725,0.0238574748257165,0.05752646527239866,0.02370255615801703
Financials,18269,0.08961586293721605,0.1041146532377251,0.48355137117521485,0.4557447041436313,0.027970879632163773,0.06831244184137063,0.027806667031583576
Healthcare,14697,0.10732154181125399,0.12646005307205552,0.4945226917057903,0.4595495679390352,0.03497312376675512,0.05933183642920324,0.0349731237667551
Industrials,13156,0.09012601854667072,0.10193691851626635,0.49027059896625114,0.462678625722104,0.027972027972027972,0.059820614168440256,0.02759197324414714
Materials,5393,0.09555028740960504,0.11568435008344151,0.5692564435379195,0.5351381420359725,0.03411830150194697,0.06267383645466346,0.034118301501946946
RealEstate,5339,0.13328361116313917,0.15172122120247236,0.5250046825248174,0.4912905038396703,0.033714178685147034,0.051882374976587375,0.033714178685147034
Tech,26632,0.11580724316611594,0.133918244968459,0.49680835085611297,0.46402823670772003,0.03300540702913788,0.0692775608290778,0.032780114148392936
Utilities,6319,0.17866258901724957,0.20057537585060928,0.3902516220921032,0.36287387244817215,0.027377749643931002,0.06567494856781136,0.027377749643931026
